X,Y,NAME,ADDRESS,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE
-8576112.7256,5347009.9345,WAYNE CAP INC.SODUS HEAD START,7192 OLD RIDGE ROAD,14551,HEAD START,WAYNE,43.229763,-77.04053499999999
-8605773.9823,5322120.489,CREATIVE ENVIRONMENT CHILDREN'S LEARNING CENTER,28 MAIN STREET,14502,CENTER BASED,WAYNE,43.066639,-77.306984
-8779693.0982,5319755.0056,YMCA BUFFALO NIAGARA,455 MEADOW DRIVE,14120,CENTER BASED,NIAGARA,43.051113,-78.869324
-8400522.4373,5347445.2064,YMCA OF THE GREATER TRI-VALLEY,1001 RUBY STREET,13440,CENTER BASED,ONEIDA,43.232613,-75.463181
-8220696.2285,4971326.8714,FOREST HILLS JEWISH CTR,106-06 QUEENS BOULEVARD,11375,CENTER BASED,QUEENS,40.721348,-73.847771
-8280549.8598,5117786.7703,UCCAC ELLENVILLE HEAD START,178 CENTER STREET,12428,HEAD START,ULSTER,41.711002,-74.38544499999999
-8232422.5439,4968763.1558,COALITION FOR HISPANIC FAMILY SERVICES @ JUAN MOREL CAMPOS,215 HEYWARD ST,11206,CENTER BASED,KINGS,40.703891999999996,-73.95311
-8208715.2041,4955983.5751,"KIDS CAMPUS INWOOD, INC.",90 HENRY STREET,11096,CENTER BASED,NASSAU,40.616802,-73.740143
-8216736.0123,5255430.8491,CHILDTIME CHILDCARE,180 DELAWARE AVE,12054,CENTER BASED,ALBANY,42.627410999999995,-73.81219499999999
-8376861.7022,5243183.5545,"OPPORTUNITIES FOR OTSEGO, INC.",65 MAIN ST.,13808,CENTER BASED,OTSEGO,42.546409999999995,-75.250626
-8139271.2884,4992346.944,SCOPE @ MIDDLE COUNTRY- BICYCLE PATH,17 WING STREET,11755,CENTER BASED,SUFFOLK,40.864304,-73.116318
-8221520.5848,4987957.0417,ASPIRA OF NEW YORK INC.,2050 BENEDICT AVENUE,10462,CENTER BASED,BRONX,40.834472999999996,-73.855179
-8236629.8881,4973930.3893,YAI/NYL GRAMERCY SCHOOL,3 EAST 19 STREET,10003,SCHOOL BASED,NEW YORK,40.739071,-73.99090600000001
-8227380.8047,5284631.5388,YMCA@ ZOLLER ELEM. SCHOOL,1880 LANCASTER ST.,12308,SCHOOL BASED,SCHENECTADY,42.820114000000004,-73.907822
-8213737.7882,5413284.8866,YMCA AFTER SCHOOL CLUB - NWCS,6110 STATE RT. 8,12817,SCHOOL BASED,WARREN,43.662006,-73.785263
-8165556.0311,4964414.9121,SCOPE@LINDENHURST/HARDING AVE. ELEM.,2 HARDING AVE.,11787,SCHOOL BASED,SUFFOLK,40.674271000000005,-73.35244
-8168549.1443,4965280.6099,SCOPE@LINDENHURST/WEST GATES AVE.,175 WEST GATES AVE,11787,SCHOOL BASED,SUFFOLK,40.680168,-73.379326
-8278169.7899,5320036.1687,GLOVERSVILLE MIDDLE SCHOOL AASP,234 LINCOLN STREET,12078,CENTER BASED,FULTON,43.052959,-74.364067
-8229997.627,4966998.5974,GOOD SHEPHERD SERVICES,1014 LAFAYETTE AVENUE,11221,CENTER BASED,KINGS,40.691872,-73.93132800000001
-8486260.8109,5320724.5908,K2 CENTER,517 HORAN ROAD,13219,CENTER BASED,ONONDAGA,43.057476,-76.233376
-8190545.212,4964421.4695,PEE WEE FOLKS PRESCHOOL,2 DECATUR STREET,11575,CENTER BASED,NASSAU,40.674316,-73.57692
-8092306.9311,4985037.518999999,SCOPE @ REMSENBURG/SPEONK ELEMENTARY SCHOOL,11 MILL RD,11960,SCHOOL BASED,SUFFOLK,40.814629,-72.694427
-8245846.8632,5127884.7844,LITTLE EXPLORERS NURSERY SCHOOL AND DAYCARE CENTER,331 NY 32,12561,CENTER BASED,ULSTER,41.778683,-74.0737
-8209953.0425,4954332.8861,WHDC CHRISTIAN ACADEMY,1521 CENTRAL AVENUE,11691,CENTER BASED,QUEENS,40.605548999999996,-73.751266
-8212163.625,4978432.3182,SPORTS & ARTS IN SCHOOLS FOUNDATION @ PS 41,214-43 35TH AVENUE,11361,CENTER BASED,QUEENS,40.769707000000004,-73.771118
-8767554.8209,5301663.0044,"EDUKIDS, INC.",777 MARYVALE DRIVE,14225,CENTER BASED,ERIE,42.932235999999996,-78.760284
-8768495.4706,5315604.1354,CREATIVE PLAY LEARNING CENTER,647 DODGE ROAD,14068,CENTER BASED,ERIE,43.023857,-78.768738
-8449663.9214,5175881.88,FAMILY ENRICHMENT NETWORK,29 FAYETTE STREET,13901,CENTER BASED,BROOME,42.099407,-75.904625
-8212691.168,4964483.6198,"THE CHILD CENTER OF NY, INC. @ BASIE BEACON IS 72",133-25 GUY R. BREWER BLVD.,11434,CENTER BASED,QUEENS,40.67474,-73.775864
-8230883.3187,4976798.1755,JACOB A. RIIS SETTLEMENT HOUSE @ PS 111Q,37-15 13TH STREET,11101,CENTER BASED,QUEENS,40.758587,-73.939285
-8222061.9315,5023166.5043,FAMILY YMCA AT TARRYTOWN,103 SOUTH BROADWAY,10591,CENTER BASED,WESTCHESTER,41.073349,-73.860039
-8208425.6278,4964510.4802,"PLEASANT LEARN N PLAY CENTER, INC.",232-10 MERRICK BLVD,11413,CENTER BASED,QUEENS,40.674923,-73.73754100000001
-8208290.549,4964524.6308,ENTERTAINMENT CAREERS AFTER-SCHOOL PROGRAM @ PS/MS 270Q,233-15 MERRICK BLVD.,11422,CENTER BASED,QUEENS,40.675018,-73.736328
-8549685.5456,5299622.3587,CREATIVE OPTIONS (CHILD DEV. & PARENT RESOURCE CTR) SACC,98 CLINTON STREET,13148,CENTER BASED,SENECA,42.918812,-76.80313100000001
-8394813.4837,5169661.0308,DELAWARE OPPORTUNITIES INC.,1 COLUMBIA LAKE ROAD,13754,CENTER BASED,DELAWARE,42.05793,-75.411896
