location,age_group,year,count,boro_cd
Battery Park/Tribeca,Under 5 Years,2019,3293.34669,101
Greenwich Village,Under 5 Years,2019,4861.65331,102
Lower East Side,Under 5 Years,2019,4967,103
Chelsea/Clinton,Under 5 Years,2019,3532.84799,104
Midtown Business District,Under 5 Years,2019,1768.15201,105
Murray Hill/Stuyvesant,Under 5 Years,2019,5101,106
Upper West Side,Under 5 Years,2019,9310,107
Upper East Side,Under 5 Years,2019,13426,108
Manhattanville,Under 5 Years,2019,5743,109
Central Harlem,Under 5 Years,2019,9117,110
East Harlem,Under 5 Years,2019,5789,111
Washington Heights,Under 5 Years,2019,9222,112
Mott Haven,Under 5 Years,2019,5961.75746,201
Hunts Point,Under 5 Years,2019,3404.24254,202
Morrisania,Under 5 Years,2019,7413.56552,203
Concourse/Highbridge,Under 5 Years,2019,12191,204
University Heights,Under 5 Years,2019,11080,205
East Tremont,Under 5 Years,2019,7739.43448,206
Bedford Park,Under 5 Years,2019,10725,207
Riverdale,Under 5 Years,2019,6729,208
Unionport/Soundview,Under 5 Years,2019,10738,209
Throgs Neck,Under 5 Years,2019,4437,210
Pelham Parkway,Under 5 Years,2019,8285,211
Williamsbridge,Under 5 Years,2019,11343,212
Williamsburg/Greenpoint,Under 5 Years,2019,11519,301
Fort Greene/Brooklyn Hts,Under 5 Years,2019,9979,302
Bedford Stuyvesant,Under 5 Years,2019,10799,303
Bushwick,Under 5 Years,2019,4761,304
East New York,Under 5 Years,2019,14618,305
Park Slope,Under 5 Years,2019,8595,306
Sunset Park,Under 5 Years,2019,8152,307
Crown Heights North,Under 5 Years,2019,8014,308
Crown Heights South,Under 5 Years,2019,6534,309
Bay Ridge,Under 5 Years,2019,6566,310
Bensonhurst,Under 5 Years,2019,13299,311
Borough Park,Under 5 Years,2019,19136,312
Coney Island,Under 5 Years,2019,7051,313
Flatbush/Midwood,Under 5 Years,2019,13061,314
Sheepshead Bay,Under 5 Years,2019,10906,315
Brownsville,Under 5 Years,2019,10733,316
East Flatbush,Under 5 Years,2019,7830,317
Canarsie,Under 5 Years,2019,11234,318
Astoria,Under 5 Years,2019,9237,401
Sunnyside/Woodside,Under 5 Years,2019,8603,402
Jackson Heights,Under 5 Years,2019,9450,403
Elmhurst/Corona,Under 5 Years,2019,10551,404
Ridgewood/Glendale,Under 5 Years,2019,10857,405
Rego Park/Forest Hills,Under 5 Years,2019,7293,406
Flushing,Under 5 Years,2019,13718,407
Fresh Meadows/Briarwood,Under 5 Years,2019,13337,408
Woodhaven,Under 5 Years,2019,9414,409
Howard Beach,Under 5 Years,2019,5893,410
Bayside,Under 5 Years,2019,4265,411
Jamaica/St. Albans,Under 5 Years,2019,15071,412
Queens Village,Under 5 Years,2019,8525,413
The Rockaways,Under 5 Years,2019,10644,414
St. George,Under 5 Years,2019,9129,501
South Beach,Under 5 Years,2019,7523,502
Tottenville,Under 5 Years,2019,8780,503
