Tweets,Location,Sentiment
"RT @DeBruyneKev: We, the Players, stand together with the singular objective of eradicating racial prejudice wherever it exists, to bring a…","Rio de Janeiro, Brasil",0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","Houston, TX",0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
"RT @PeopleMvmt: URGENT: Oakland, CA protestors aren’t letting down. This happened today. No coverage from Media. #BlackLivesMatter 

 https…",DMV,-0.15555555555555559
For #BlackLivesMatter action @dogonvillage @chewitt2016 @EJinAction @JacquiPatt @letetiadj @coalitionbuildr… https://t.co/PnmlOLIhoR,not given,0.1
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,not given,0.0
#BlackLivesMatter #MIZ https://t.co/4cRonhebbp,not given,0.0
RT @JWB28: This is why the protest won't end anytime soon. #BlackLivesMatter https://t.co/W19xXpcSzz,NJ,0.0
RT @DalotDiogo: #blacklivesmatter #playerstogether https://t.co/SW7NqdYcR8,not given,0.0
"RT @elijahdaniel: RIP Derrick Scott. They’re only releasing these videos now hoping they go under the radar, do not let them. #BlackLivesMa…","Plymouth Meeting, PA",0.0
"RT @BasedPoland: A huge #Antifa/#BlackLivesmatter mob has arrived for a protest in #Whitehall #London. Police let them do what they want

T…",California,0.4000000000000001
RT @Arsenal: #BlackLivesMatter https://t.co/2SfJpDOJkv,DKI Jakarta,0.0
RT @RobHarris: Premier League confirms Black Lives Matter to replace player names on the back of shirts for the first 12 matches of the res…,not given,0.02777777777777778
"Gone With The Wind... Gone.
Fawlty Towers... Gone.
Little Britain... Gone.
Gavin &amp; Stacey... Gone.

Common Sense...… https://t.co/f1ALYpFhpO",UK,-0.24375
RT @essencemck: YALL MAKE EVERYTHING ELSE GO VIRAL MAKE THIS GO VIRAL!! MY CHILDHOOD BROTHER HAS BEEN SENTENCED TO 133 YEARS AT AGE 17 WAS…,icon by @saku3939poyo,0.0
"RT @BeWaterHKG: Police Mocks #BlackLivesMatter Movement and Harasses @BeWaterHKG Reporter

20:24 | #YauMaTei
A busker was surrounded &amp; sear…",not given,0.0
